zona
madrid/latina/aluche
madrid/latina/aguilas
/madrid/arganzuela/palos-de-la-frontera
madrid/retiro/pacifico
madrid/centro/lavapies-embajadores
madrid/arganzuela/delicias
madrid/latina/campamento
madrid/latina/cuatro-vientos
madrid/moncloa/casa-de-campo
madrid/moncloa/arguelles
madrid/latina/lucero
madrid/latina/los-carmenes
madrid/latina/aguilas
boadilla-del-monte/urb-este-monteprincipe
